evid,datetime,lat,long,mag,f_type,strike,dip,rake,length,dip_dist,z_tor,dbottom,hyp_lat,hyp_lon,hyp_strike,hyp_dip,corner_0_lat,corner_0_lon,corner_0_depth,corner_1_lat,corner_1_lon,corner_1_depth,corner_2_lat,corner_2_lon,corner_2_depth,corner_3_lat,corner_3_lon,corner_3_depth
1773445,2001-08-04T14:47:04.928000Z,-43.19484,171.05783,4.055,domain,195.256942,60.536539,80,1.022277774,1.100504141,4.387752234,5.345927677,-43.19484,171.05783,0.549680983,0.638972508,-43.19088066,171.0638818,4387.752234,-43.19970045,171.0602918,4387.752234,-43.18948981,171.0574992,5345.927677,-43.19830939,171.0539084,5345.927677
1774135,2001-08-08T13:37:23.803000Z,-41.15656,174.47318,4.303,domain,257.180286,71.4802,173,2.158305728,2.011286994,32.87540874,34.78253912,-41.15656,174.47318,0.485233325,0.52633594,-41.15725216,174.4862553,32875.40874,-41.16188549,174.4612763,32875.40874,-41.15166452,174.4844398,34782.53912,-41.15629743,174.4594627,34782.53912
1780673,2001-08-21T06:51:57.708000Z,-36.48562,-178.47597,7.107,domain,239.267222,50.112113,-84,51.39931991,23.62336981,23.20320794,41.3294372,-36.48562,-178.47597,0.510303758,0.540476009,-36.40730882,-178.1874783,23203.20794,-36.67683635,-178.6494663,23203.20794,-36.29758966,-178.2858594,41329.4372,-36.56668953,-178.7476835,41329.4372
1793707,2001-09-24T04:49:56.959000Z,-40.42365,176.74074,5.3,domain,219.434451,90,45,4.310528723,6.056456172,34.46155154,40.51800771,-40.42365,176.74074,0.452153037,0.454481694,-40.40964469,176.7545493,34461.55154,-40.4406175,176.7240005,34461.55154,-40.40964469,176.7545493,40518.00771,-40.4406175,176.7240005,40518.00771
1793716,2001-09-24T05:24:26.614000Z,-40.43908,176.81078,4.436,domain,227.377849,90,45,1.813330267,1.583560292,39.71410249,41.29766278,-40.43908,176.81078,0.499033808,0.765741295,-40.43331288,176.8183017,39714.10249,-40.44486902,176.8032279,39714.10249,-40.43331288,176.8183017,41297.66278,-40.44486902,176.8032279,41297.66278
1797223,2001-10-08T02:01:23.752000Z,-40.42295,176.81586,4.534,domain,221.048446,82.472076,45,2.31459567,1.972910834,35.28733083,37.2432374,-40.42295,176.81586,0.464291439,0.610238338,-40.41627491,176.8251992,35287.33083,-40.43255705,176.808209,35287.33083,-40.41482507,176.8228203,37243.2374,-40.43110687,176.8058298,37243.2374
1797438,2001-10-08T11:36:26.397000Z,-40.41729,176.8123,4.468,domain,226.166426,82.840193,45,2.220100572,2.873181632,33.82412115,36.6748988,-40.41729,176.8123,0.488934492,0.384729707,-40.41108405,176.8222989,33824.12115,-40.4255276,176.8042451,33824.12115,-40.4088585,176.8192509,36674.8988,-40.42330158,176.8011969,36674.8988
1797520,2001-10-08T19:27:34.716000Z,-40.97828,174.46014,4.826,domain,36.605667,57.505904,125,2.391847666,2.317633317,3.697986746,5.652787164,-40.97828,174.46014,0.522756713,0.666059431,-40.98307701,174.4434699,3697.986746,-40.96557255,174.4600376,3697.986746,-40.98961355,174.4554943,5652.787164,-40.9721074,174.4720604,5652.787164
1803016,2001-10-15T03:49:38.478000Z,-39.6938,176.72606,5.5,domain,219.463779,90,45,7.8106241,7.220520041,36.53341625,43.75393629,-39.6938,176.72606,0.464803365,0.553711329,-39.66773444,176.751549,36533.41625,-39.72380717,176.6966874,36533.41625,-39.66773444,176.751549,43753.93629,-39.72380717,176.6966874,43753.93629
1807304,2001-10-17T20:02:41.825000Z,-44.51003,168.30515,4.755,domain,194.470504,55.117833,80,2.256654242,2.173596187,10.86638633,12.6494523,-44.51003,168.30515,0.516265522,0.635766532,-44.50222504,168.3190653,10866.38633,-44.52153997,168.3104201,10866.38633,-44.49881722,168.3041994,12649.4523,-44.51813084,168.29555,12649.4523
1808925,2001-10-22T02:03:28.304000Z,-41.58762,174.39989,4.817,domain,246.563767,67.289422,173,3.270686317,2.739541731,8.791264421,11.31840079,-41.58762,174.39989,0.512789593,0.678212542,-41.58727126,174.4217665,8791.264421,-41.59942445,174.3860249,8791.264421,-41.57859536,174.4165301,11318.40079,-41.59074688,174.3807922,11318.40079
1809503,2001-10-23T15:37:44.775000Z,-45.22327,166.80666,4.903,domain,38.126937,46.444041,140,3.905854692,4.486615802,10.51220468,13.7636629,-45.22327,166.80666,0.509593164,0.457577869,-45.22784721,166.7763298,10512.20468,-45.20201784,166.8098641,10512.20468,-45.24660912,166.8052647,13763.6629,-45.22077113,166.8387987,13763.6629
1812052,2001-11-02T05:06:33.236000Z,-41.18869,174.56706,4.934,domain,27.720077,69.732742,123,3.246875265,4.043141403,32.26892338,36.06174192,-41.18869,174.56706,0.575018875,0.553671787,-41.20057511,174.5487999,32268.92338,-41.17445025,174.5661888,32268.92338,-41.20624149,174.5637207,36061.74192,-41.18011448,174.5811051,36061.74192
1814077,2001-11-09T04:56:38.978000Z,-41.50883,173.31752,5.384,domain,248.556926,68.300448,173,4.565966496,4.868004044,89.45232087,93.97535605,-41.50883,173.31752,0.470764623,0.609586045,-41.5108676,173.3463118,89452.32087,-41.52604476,173.2954525,89452.32087,-41.4958011,173.3383483,93975.35605,-41.51097474,173.2874989,93975.35605
1817241,2001-11-18T05:04:55.020000Z,-43.09651,170.81647,4.335,domain,197.950331,65.143626,80,1.372125543,1.421568687,4.220229428,5.510110151,-43.09651,170.81647,0.509489058,0.604529208,-43.0916582,170.8235118,4220.229428,-43.10330522,170.8179024,4220.229428,-43.08986803,170.8165911,5510.110151,-43.10151468,170.8109806,5510.110151
1823296,2001-11-29T00:39:39.803000Z,-40.41525,176.92068,4.464,domain,219.190608,90,45,2.346178998,2.039878171,14.49426737,16.53414555,-40.41525,176.92068,0.502869839,0.597012431,-40.40673318,176.928968,14494.26737,-40.42366911,176.9124845,14494.26737,-40.40673318,176.928968,16534.14555,-40.42366911,176.9124845,16534.14555
1825324,2001-12-07T19:27:35.038000Z,-44.11338,168.60509,5.8,domain,47.364671,55.050641,150,10.06833807,6.110801556,2.389196518,7.397968064,-44.11338,168.60509,0.534664727,0.521246269,-44.13154534,168.5387913,2389.196518,-44.07389959,168.6356262,2389.196518,-44.15581451,168.5666083,7397.968064,-44.09814579,168.6634596,7397.968064
1829906,2001-12-30T06:26:58.434000Z,-40.23069,173.55899,4.979,domain,45.017618,55.798877,125,3.928773262,4.876039234,145.6141962,149.6470198,-40.23069,173.55899,0.454940327,0.404531397,-40.23512107,173.5349512,145614.1962,-40.20994558,173.5674086,145614.1962,-40.25247884,173.5578694,149647.0198,-40.22729699,173.5903264,149647.0198
1832179,2002-01-09T23:25:39.057000Z,-44.74822,167.92984,4.165,domain,34.757828,45.958892,140,1.35267464,1.560301816,94.28120399,95.40281325,-44.74822,167.92984,0.548252901,0.505698402,-44.75038953,167.9186158,94281.20399,-44.74085681,167.9291935,94281.20399,-44.75643431,167.9293434,95402.81325,-44.74690058,167.9399206,95402.81325
1834804,2002-01-17T10:03:16.356000Z,-41.72424,174.54939,4.393,domain,248.453309,65.037485,173,2.405086633,2.571630824,27.46451344,29.79591302,-41.72424,174.54939,0.465606654,0.444877218,-41.72438199,174.5640475,27464.51344,-41.73269787,174.5373513,27464.51344,-41.71535824,174.5590373,29795.91302,-41.72367292,174.5323442,29795.91302
1837442,2002-01-23T06:37:30.654000Z,-40.40523,175.22073,4.65,domain,35.290887,67.743665,123,2.570689364,1.947386547,49.58983043,51.39213402,-40.40523,175.22073,0.439338346,0.65370206,-40.41125731,175.208601,49589.83043,-40.3920323,175.2254697,49589.83043,-40.41495767,175.2158172,51392.13402,-40.39573165,175.2326846,51392.13402
1841429,2002-01-31T03:51:07.741000Z,-45.05406,167.38931,4.602,domain,39.370449,45.637288,140,2.179995271,2.981023951,103.1055242,105.2367413,-45.05406,167.38931,0.474763455,0.443115739,-45.05512419,167.3717997,103105.5242,-45.04088919,167.390758,103105.5242,-45.06797397,167.3910034,105236.7413,-45.05373576,167.4099618,105236.7413
1984532,2002-02-24T06:37:35.633000Z,-44.07832,168.58098,5.4,domain,40.813123,36.597451,127,5.389597875,3.149806395,3.678050745,5.555931172,-44.07832,168.58098,0.480368054,0.703958163,-44.08399156,168.5425963,3678.050745,-44.04908133,168.5891894,3678.050745,-44.09975703,168.5653194,5555.931172,-44.06483753,168.6119129,5555.931172
1850630,2002-03-04T09:28:26.808000Z,-37.76768,177.55302,4.653,domain,3.10162,70.518675,89,2.437841993,2.491192638,42.80112096,45.14969343,-37.76768,177.55302,0.478510415,0.593032175,-37.77814928,177.5473649,42801.12096,-37.75622009,177.5475157,42801.12096,-37.77818962,177.5567806,45149.69343,-37.7562606,177.5569286,45149.69343
1858571,2002-03-26T05:22:50.701000Z,-40.36633,176.42261,4.973,domain,212.140761,87.962746,45,3.703772964,5.507031164,42.35170178,47.85525209,-40.36633,176.42261,0.471663951,0.352717448,-40.35301311,176.4335653,42351.70178,-40.38190329,176.4118266,42351.70178,-40.35213438,176.4315692,47855.25209,-40.38102421,176.4098299,47855.25209
1862205,2002-04-03T16:56:47.865000Z,-44.08781,168.60403,4.456,domain,49.455067,60.334033,150,2.041582568,1.670348364,3.913176238,5.364584787,-44.08781,168.60403,0.506578292,0.748806229,-44.08905059,168.5890954,3913.176238,-44.07788299,168.6093006,3913.176238,-44.09494873,168.5953693,5364.584787,-44.08378005,168.6155754,5364.584787
1865099,2002-04-11T01:04:38.970000Z,-38.14315,179.19548,5.039,domain,237.584987,42.874335,106,3.639836004,3.949138663,57.06767354,59.75463851,-38.14315,179.19548,0.590907428,0.493354574,-38.14206543,179.2248018,57067.67354,-38.16139692,179.1914256,57067.67354,-38.12111025,179.2053408,59754.63851,-38.14043583,179.1719675,59754.63851
2001899,2002-04-16T10:13:11.793000Z,-38.83766,175.86743,4.695,domain,36.908677,57.444836,-94,3.052619474,2.612801922,3.741953113,5.944215251,-38.83766,175.86743,0.511314553,0.571252107,-38.84499686,175.8495277,3741.953113,-38.82251145,175.8697432,3741.953113,-38.85227965,175.8627711,5944.215251,-38.82979206,175.8829841,5944.215251
1866336,2002-04-16T10:59:17.310000Z,-38.81005,175.89668,4.254,domain,49.150155,57.390972,-94,1.699540911,1.641820934,4.136839789,5.51985638,-38.81005,175.89668,0.469628579,0.62411414,-38.81126407,175.8856183,4136.839789,-38.8008928,175.9000006,4136.839789,-38.81712288,175.8925192,5519.85638,-38.80675076,175.9069016,5519.85638
1872069,2002-04-29T22:50:02.479000Z,-37.80902,177.56264,4.016,domain,15.813356,65.620651,89,1.181077601,1.300709034,46.43323222,47.61796028,-37.80902,177.56264,0.463307169,0.611336731,-37.81315095,177.5576169,46433.23222,-37.80279969,177.5606326,46433.23222,-37.81423849,177.5635483,47617.96028,-37.80388712,177.5665631,47617.96028
1873126,2002-05-04T12:59:53.185000Z,-41.39032,172.34467,5.453,domain,40.693341,59.302398,125,5.126084744,5.062704818,2.348855002,6.702141412,-41.39032,172.34467,0.499794688,0.608998524,-41.39837266,172.31033,2348.855002,-41.36359806,172.3506581,2348.855002,-41.41368891,172.3336157,6702.141412,-41.37890622,172.3739411,6702.141412
1874654,2002-05-09T01:39:25.803000Z,-41.41028,172.37999,4.152,domain,46.205454,59.963021,125,1.080226025,1.224805556,4.292949954,5.353267212,-41.41028,172.37999,0.440201136,0.666828764,-41.41054556,172.3724954,4292.949954,-41.4038624,172.3818881,4292.949954,-41.41455914,172.3775338,5353.267212,-41.40787558,172.3869266,5353.267212
1874767,2002-05-09T11:49:41.982000Z,-44.06361,168.75531,4.99,domain,44.789412,57.623752,150,3.162932353,3.498772328,3.06818322,6.023071336,-44.06361,168.75531,0.507068699,0.653769857,-44.06515278,168.7302391,3068.18322,-44.04603338,168.7594274,3068.18322,-44.07762219,168.7459454,6023.071336,-44.05849885,168.7751353,6023.071336
1874833,2002-05-09T19:25:23.251000Z,-37.87547,176.34499,5.687,domain,40.189331,59.192053,-94,6.997533156,6.751000115,177.895412,183.6937709,-37.87547,176.34499,0.458354553,0.54203061,-37.88775809,176.3057429,177895.412,-37.83820866,176.354826,177895.412,-37.90698742,176.3366378,183693.7709,-37.85742559,176.3857111,183693.7709
1878452,2002-05-17T20:02:10.725000Z,-40.94552,174.02992,4.399,domain,35.837762,65.323013,125,2.114849128,2.331072835,81.21691128,83.33510109,-40.94552,174.02992,0.506816038,0.401044662,-40.95138759,174.0187955,81216.91128,-40.93581474,174.0332646,81216.91128,-40.95643664,174.028248,83335.10109,-40.94086264,174.0427159,83335.10109
1881871,2002-05-26T09:39:31.267000Z,-44.12629,168.56844,4.886,domain,54.771129,58.912324,150,2.954443574,2.692825542,3.323302695,5.629379708,-44.12629,168.56844,0.475374916,0.727077758,-44.1253094,168.5468867,3323.302695,-44.11118186,168.5781047,3323.302695,-44.13589436,168.5561158,5629.379708,-44.12176445,168.5873375,5629.379708
1884479,2002-06-02T04:46:40.826000Z,-44.12461,168.60567,5.086,domain,49.735909,65.747348,150,4.056321608,4.135393406,9.945652662,13.71606879,-44.12461,168.60567,0.4988512,0.544859578,-44.12897793,168.5785698,9945.652662,-44.10693288,168.6188895,9945.652662,-44.14114318,168.591385,13716.06879,-44.11909378,168.6317089,13716.06879
1889487,2002-06-17T11:14:42.495000Z,-43.06487,170.58005,4.204,domain,38.478283,55.66998,125,1.169861113,1.07205402,4.318040874,5.203346221,-43.06487,170.58005,0.448052445,0.770309508,-43.06577495,170.5715315,4318.040874,-43.05772468,170.5807877,4318.040874,-43.06928267,170.5772059,5203.346221,-43.06123193,170.5864619,5203.346221
1893031,2002-06-25T08:47:04.332000Z,-45.18586,166.85953,4.779,domain,37.434502,40.298759,140,3.564798725,3.612206863,13.73211008,16.06838891,-45.18586,166.85953,0.499594913,0.472499217,-45.18998608,166.8321443,13732.11008,-45.1661357,166.8623026,13732.11008,-45.20647136,166.8582134,16068.38891,-45.18261397,166.8883711,16068.38891
1894022,2002-06-27T13:36:29.498000Z,-42.60665,172.83502,4.457,domain,56.088877,62.766573,147,1.587372849,1.475083825,4.198078739,5.509648858,-42.60665,172.83502,0.513046934,0.611420807,-42.60764072,172.8239704,4198.078739,-42.59968879,172.8400513,4198.078739,-42.6126927,172.8285478,5509.648858,-42.60474013,172.8446294,5509.648858
1894490,2002-06-29T12:27:28.018000Z,-39.33126,178.17546,5.531,domain,222.284247,82.13147,45,6.281293191,6.106515074,29.84483617,35.89385722,-39.33126,178.17546,0.534566851,0.521599083,-39.31026713,178.2038309,29844.83617,-39.3541486,178.1580827,29844.83617,-39.30553977,178.1963123,35893.85722,-39.3494184,178.1505618,35893.85722
